,logFC,AveExpr,t,P.Value,adj.P.Val,B
CKS1B,1.89538351593011,9.26373843845944,26.6236564465573,9.45867369731007e-42,1.27833975019146e-37,84.7467390466134
CEACAM1,-1.89270115957229,6.85927041792003,-25.9105952844744,6.75652730515212e-41,3.18789993731741e-37,82.8059794739254
UBE2C,1.90046304774303,8.68255080961251,25.8940056738499,7.0763594613039e-41,3.18789993731741e-37,82.7603016976115
CBX3,1.41158548282758,8.74161066811118,25.5883648314259,1.66608316322852e-40,5.62927848775836e-37,81.9144044169466
EPS8L1,-2.22646085085816,7.59187963565326,-25.0933473437438,6.78337493278195e-40,1.7538588167178e-36,80.5266574032144
EMP1,-2.73239870920226,8.60846318287163,-25.0451360530819,7.78627665579491e-40,1.7538588167178e-36,80.3903127547253
SASH1,-2.18630474611687,8.89782260525647,-24.7747675742539,1.69364078358516e-39,3.2699364557362e-36,79.6217353588157
CDK1,1.86575235528834,7.3821963263076,24.5546593549557,3.2038878461359e-39,5.41256803006583e-36,78.9910288278348
IL1RN,-2.3831904938073,7.76998565425086,-24.2595854546321,7.58274418213418e-39,1.13867541801715e-35,78.1383763314586
ECM1,-3.43439384979934,10.0783932697697,-23.8388412611005,2.6263983451581e-38,3.54957736348117e-35,76.9082303084506
KLK13,-2.41819384876127,7.0648866612704,-23.7376224867264,3.55001585151596e-38,4.19351231705644e-35,76.6097419218096
FUT6,-1.99858388499301,6.58492453113175,-23.7216322471918,3.72342936031648e-38,4.19351231705644e-35,76.5624963362311
CDKN3,1.97161400913052,7.48074496477429,23.3647014044639,1.08652799126252e-37,1.12957121553176e-34,75.5013578932965
IL17RC,-0.741714128537365,6.5195623471896,-23.190834588971,1.83874629047475e-37,1.77504686541187e-34,74.9798915244401
PRSS3,-2.70788284249339,7.61299460843098,-23.0965556458632,2.44876811104414e-37,2.20634006805077e-34,74.6958634774908
RMND5B,-0.889342276097898,7.14402885795112,-22.976226031096,3.53428583148781e-37,2.82919494826966e-34,74.3320552422995
KAT2B,-2.6046110935056,7.14116180487105,-22.97396962179,3.558735783987e-37,2.82919494826966e-34,74.3252191837249
NUCB2,-2.44989951434359,8.14503590370644,-22.8140571454042,5.80819429044041e-37,4.36098587973901e-34,73.8394306496257
TMPRSS11E,-4.56510942569456,8.18233767953192,-22.7195631267404,7.76731017314463e-37,5.52501036789735e-34,73.5511491927372
MMP1,5.61705409211875,7.37317212737533,22.6202657139529,1.05519356758584e-36,6.87450347856141e-34,73.2472286017427
CEP55,2.39291322112,7.16533626543052,22.6163078943754,1.06818034073096e-36,6.87450347856141e-34,73.235093880684
GINS1,1.96518694583149,7.82271470797191,22.4917985850412,1.57078526960162e-36,9.59262960584302e-34,72.8525226902691
FUT3,-2.07167313156333,6.62272096762774,-22.4793860211606,1.63248598545608e-36,9.59262960584302e-34,72.8142956943096
HSPB8,-2.28452435313865,8.56034665278863,-22.0552538651079,6.14705199853852e-36,3.46155865667701e-33,71.4984504431051
BUB1B,1.86257068588248,7.75714380972128,21.9642216476246,8.19021271895742e-36,4.37285189660473e-33,71.2135655447959
HMGB3,1.84947174938335,7.82918838411182,21.9557428007656,8.41244168048265e-36,4.37285189660473e-33,71.1869863687216
EVPL,-2.01534587890547,8.19684398023885,-21.8003089130757,1.37606032043741e-35,6.88794638174501e-33,70.6983840262332
PPP1R3C,-3.55308699970152,7.57392625222615,-21.7460563895708,1.63489072148378e-35,7.89126717887617e-33,70.5272360977007
PRC1,1.91501695924079,8.10873469358342,21.6949118379338,1.92386179007773e-35,8.76760075133822e-33,70.365604200287
CRISP3,-6.14457520831726,6.94265068189652,-21.6912885623006,1.94619328553567e-35,8.76760075133822e-33,70.3541429389623
SCEL,-4.56786869464105,7.62859402214544,-21.5694356532907,2.87139666232998e-35,1.21434578762358e-32,69.967871967812
ENDOU,-3.92180224162636,6.93656550222958,-21.5690158310453,2.87525454709246e-35,1.21434578762358e-32,69.9665383759626
RFC4,2.0163960264719,7.90960463309687,21.5459572803536,3.09539146553978e-35,1.26770350475061e-32,69.8932622126258
ABLIM1,-1.85242278826417,8.79554779830534,-21.535257285643,3.20325270187099e-35,1.27329294899372e-32,69.8592399365964
TPX2,1.77599779033228,7.82973655749895,21.4609937093178,4.0642466777569e-35,1.53458336618984e-32,69.6227661868898
SULT2B1,-2.41096236912264,7.31236665699802,-21.4557076978779,4.13379378306654e-35,1.53458336618984e-32,69.6059114315886
MCM2,1.85116424773187,8.1759562821252,21.4506674443554,4.20122712164441e-35,1.53458336618984e-32,69.5898374670351
C2orf54,-2.29368186415817,7.09869306183302,-21.384115313139,5.20326024704253e-35,1.85058058523105e-32,69.3773361530065
EPS8L2,-1.88779748652952,7.66659065802001,-21.31718232637,6.45523511392281e-35,2.23698724524787e-32,69.163132662706
SERPINH1,1.88565428822144,8.3551803758549,21.2881001978513,7.09024367327523e-35,2.39561608110787e-32,69.069909772065
ECT2,2.49829967834808,6.61360127573933,21.1640917370167,1.05890672970045e-34,3.49051815900039e-32,68.6713613650583
CLIC3,-4.17185825588234,7.93366836543577,-21.1172162901982,1.23279324868874e-34,3.96695256095913e-32,68.5202696966999
UBL3,-2.05801031632343,8.27788982519182,-21.0278402345044,1.64845200448235e-34,5.18112298618114e-32,68.2315167844578
NUSAP1,1.46553750505134,7.86296918663129,21.0093604093093,1.75070791528212e-34,5.37745851705405e-32,68.1717027955321
LMBRD1,-1.08389215690418,8.20047246510775,-20.9831113163788,1.9070725345496e-34,5.67484452878904e-32,68.0866769277785
ITSN2,-0.70267593996391,7.30586021037393,-20.979207332119,1.93150461209246e-34,5.67484452878904e-32,68.0740246544554
PLXNA1,0.99625240357672,7.56954007961036,20.9264188775365,2.29467448032638e-34,6.59840970247043e-32,67.9027787064881
DNMT1,1.25818903415617,8.03138019812238,20.9040257993714,2.46889046787981e-34,6.9514697236241e-32,67.8300420622012
SERPINB1,-2.54276995298829,9.57934430556733,-20.8778670640499,2.68940819247894e-34,7.33272864760154e-32,67.7450033298258
NPEPPS,-1.22138260556723,7.99768793706584,-20.8752191143351,2.71281119038163e-34,7.33272864760154e-32,67.7363909392656
DLGAP5,2.07753997160612,6.83033879345155,20.7739910436509,3.78021676586234e-34,9.8797604759434e-32,67.4065633348459
LRRFIP2,-1.19302566988946,6.70622135782429,-20.772295994233,3.80131368663749e-34,9.8797604759434e-32,67.4010306850041
KIAA0232,-1.43434170619999,8.03070277135269,-20.7562825614243,4.00658440621123e-34,1.02167902358386e-31,67.3487469102479
C1orf116,-2.23135494141624,7.87104467553082,-20.7046806370499,4.74743215389154e-34,1.18817676962674e-31,67.1800716925303
MXD1,-2.33946185334403,6.93464836961422,-20.69780559925,4.85607562657539e-34,1.19327021987575e-31,67.1575762062655
MCM5,1.09067917618194,7.27228750538543,20.598179898561,6.74427443795134e-34,1.62765837551629e-31,66.8310000848597
TTK,1.9089359438087,7.38468741059173,20.5784381143561,7.19877756882161e-34,1.7068680498706e-31,66.7661533932439
KIF14,1.88749854865889,6.17185334089983,20.4765006620136,1.00879886839594e-33,2.35067529420192e-31,66.430615367651
SULF1,1.85792090540112,7.49879749137886,20.4316832334742,1.17055504867111e-33,2.67029983370019e-31,66.2827221330274
KIF4A,1.94313606295565,6.80290264472373,20.4230785170838,1.20449026884697e-33,2.67029983370019e-31,66.2543013434781
MRGBP,1.27054587382602,6.55032960108822,20.4228909975271,1.20524076844774e-33,2.67029983370019e-31,66.2536818857197
GPX3,-3.24313663829113,9.13511598353465,-20.3850102804038,1.36695954214401e-33,2.97975132452843e-31,66.1284637568485
SNRPG,1.02244288907886,10.5523878557751,20.3303434551799,1.63979842971125e-33,3.50620096687492e-31,65.9474701865343
TOM1,-1.11025969999025,6.59209490459947,-20.3235397485921,1.67740152894114e-33,3.50620096687492e-31,65.9249203509157
FSCN1,1.8869351545496,7.13437208723681,20.3219527536542,1.68629717237787e-33,3.50620096687492e-31,65.9196597428192
PINK1,-0.996513545823167,7.9847061648685,-20.3170944893239,1.71382670227785e-33,3.5094496789826e-31,65.9035536707147
FOXM1,1.95902674538464,7.09471604277292,20.2883781299779,1.88607866381125e-33,3.8045303196133e-31,65.8082985285847
ACTL6A,1.52044340263258,8.26804734269948,20.2410020250369,2.2093609653761e-33,4.39110491868501e-31,65.6509414289015
SNAI2,2.27766376242175,8.36752436199839,20.2335915927696,2.26476648416192e-33,4.43598826571716e-31,65.6263049034166
BLNK,-2.55132176984289,7.83889223165615,-20.196889046978,2.56058341866283e-33,4.94375498617546e-31,65.5041920165949
NEK2,1.16148626048033,5.66793040674759,20.1877152855392,2.6404338063271e-33,5.02612153415645e-31,65.4736459499068
CCNG2,-2.28079830692582,7.37978594459195,-20.0959068302095,3.59225422399444e-33,6.74296053295623e-31,65.1674178768297
ACOX1,-0.796642348042276,5.74125056312864,-20.0805877558935,3.78194046308155e-33,7.00177059706125e-31,65.1162267064535
TRIP10,-1.6873725140478,8.10407062769064,-20.0758291760143,3.84289821647507e-33,7.01848235076495e-31,65.1003196457598
ASPM,1.85384832604916,7.02804688716228,20.0575726876243,4.08611717536061e-33,7.36318314999982e-31,65.0392673732192
ANP32E,1.21418918871119,8.12624321503579,20.0176635819398,4.67335985391732e-33,8.31058663495955e-31,64.9056720114012
AIM1L,-1.08173264805272,6.62322558153873,-19.9783344647673,5.33551416292208e-33,9.36486674180415e-31,64.7738384524897
ILF2,1.13004114419737,9.01906507593899,19.9548634282623,5.77504788448867e-33,1.00063810460083e-30,64.6950770171922
MFSD5,-1.0011579698002,7.89405997193368,-19.944418662148,5.98223253799565e-33,1.02341611077229e-30,64.6600071833647
PBK,2.05394893936226,6.88781744316052,19.9384220446068,6.1045585785053e-33,1.03128886485624e-30,64.6398669588828
ZNF185,-2.66442166757293,9.56351468686667,-19.9323689541928,6.23059923983784e-33,1.03680211685794e-30,64.6195328453798
PLAU,2.13492124640578,7.37160785129523,19.9295296411851,6.29062327653359e-33,1.03680211685794e-30,64.6099932958558
GPD1L,-1.81017431865216,8.26278598030217,-19.9031058039018,6.87801755439991e-33,1.11995671382789e-30,64.5211694871167
DDX39A,1.2312598818019,8.70961618481107,19.8294732938816,8.82428445692892e-33,1.4197643385166e-30,64.2732265178094
ERH,0.827159059956855,10.9483095652184,19.7978995619111,9.8212003184279e-33,1.56157085063004e-30,64.1667153088398
TGFBI,2.29809569961791,9.52340352667052,19.7585579833118,1.12241856908466e-32,1.76389383269526e-30,64.0338376377533
TOPBP1,1.2878022536717,8.27513527162098,19.6642762199304,1.54681930973843e-32,2.40290378978332e-30,63.7146628710665
ARHGEF10L,-1.25552169769758,7.11531374371483,-19.6526245580366,1.60947209763394e-32,2.46867153645049e-30,63.6751460621999
TOP2A,2.02762375334684,7.37523385804272,19.6496834101831,1.62568824819899e-32,2.46867153645049e-30,63.6651685986572
RANBP9,-1.83692202804761,7.69426800980285,-19.6415344205011,1.67148525898795e-32,2.5100136972469e-30,63.6375189172829
KPNA2,1.28066585503201,9.73144742404793,19.6210160092413,1.79265386556253e-32,2.66238648275577e-30,63.5678651129954
TP53I3,-2.12526245600928,8.37234406838664,-19.4568060871734,3.14409476674275e-32,4.61874356223134e-30,63.0086418912368
CRCT1,-4.64423287980954,8.65145984251849,-19.4221304950053,3.54154073036542e-32,5.14665838396652e-30,62.8901469667505
OBFC1,-2.07438342791008,7.28855307656838,-19.3337310294102,4.8001699850806e-32,6.90152099450684e-30,62.587421901911
ARL6IP1,0.948785480431886,10.0143686517174,19.3163407448405,5.0966291852083e-32,7.25062562506213e-30,62.5277598031217
NDRG2,-0.973948781082501,6.5897972289365,-19.29490697824,5.48759301479122e-32,7.72550204113577e-30,62.4541761245563
SMAGP,-1.69211800172372,8.5684322478353,-19.2852540647591,5.6734272955989e-32,7.90478040206383e-30,62.4210191768074
DTL,1.8638056781226,7.07607025497122,19.2516981121659,6.3703182486992e-32,8.78518889093568e-30,62.3056712485614
SH3GLB2,-1.48731109157094,6.47349342368401,-19.2227272948494,7.04120914888133e-32,9.61231733809406e-30,62.2059770338979
CAST,-1.20348646929627,8.10422450753975,-19.2134375283985,7.27110557517269e-32,9.82689918484589e-30,62.1739880103991
RAD51AP1,1.70777735835903,6.35356942567417,19.1652302577164,8.5916721453947e-32,1.14966781232683e-29,62.0078228021945
ARHGAP10,-1.01515065663968,7.37079146383812,-19.1125077795482,1.03152082179758e-31,1.3667650888818e-29,61.8257770434296
SLURP1,-4.25720468401703,8.61752483096544,-19.0709648091598,1.19162936372949e-31,1.55693670553185e-29,61.682099289911
VRK1,1.50420474437339,7.40869448644326,19.0694099447752,1.19808669904042e-31,1.55693670553185e-29,61.676717734277
RASAL1,-1.18280177382998,6.99056300976914,-19.0442850857508,1.30746770379889e-31,1.68289771588972e-29,61.5897177534475
MFAP2,2.09855882461907,7.60868550210974,19.0158748967316,1.44335698638358e-31,1.84028015763906e-29,61.4912506050386
MAD2L1,1.64881699470698,6.76522945792063,19.0125248868721,1.46029332014327e-31,1.84447329175106e-29,61.4796334006321
ITPR3,0.742274479773576,6.74295601247856,18.9321926432386,1.93241638157694e-31,2.41820438861226e-29,61.200653091064
TMEM194A,0.888964763564046,6.1021849352775,18.9054473113596,2.12167436827233e-31,2.63068156763308e-29,61.1075990826145
RAB11A,-1.26859439140954,9.41541846061662,-18.8652563029818,2.44188551263505e-31,3.00018933666024e-29,60.9676022018264
TGM1,-2.8683835454561,9.25649521980458,-18.8548693561263,2.53230253096208e-31,3.0832494329687e-29,60.9313898345776
STARD7,0.922459300971941,10.0823220800087,18.8495249194204,2.58013471622965e-31,3.11343934730747e-29,60.9127522766486
CDC20,1.96103779124633,7.89325354126186,18.792985409489,3.14562162135693e-31,3.76221913386185e-29,60.7153720622763
FAM63A,-1.17252542279539,8.13956329193287,-18.7679448174666,3.43459494683414e-31,4.06484875241793e-29,60.6278316926993
MKI67,0.99779002734177,6.73326636691971,18.7659443638259,3.4588058196675e-31,4.06484875241793e-29,60.6208349612407
COLGALT1,0.825235170420319,7.91814848562218,18.7608993700192,3.52063186523669e-31,4.10183962574775e-29,60.6031875816023
RNASEH2A,1.23293410568148,7.40510656607647,18.7492391081844,3.66783181139063e-31,4.2368159770038e-29,60.5623882291942
KIF20A,1.70826164961113,7.10807601509074,18.7139112335442,4.1528668371925e-31,4.75644028005565e-29,60.4386752835364
NCAPG2,1.27263073654356,6.68631084883603,18.6934366058024,4.46311488645943e-31,5.06882333533607e-29,60.3669070216882
SYNGR1,-0.750306472634356,6.93416441381961,-18.6851888558679,4.59461022585254e-31,5.17467976686643e-29,60.3379824158882
CENPA /// SLC35F6,1.7685223996702,6.86987190221191,18.6749646147283,4.7630611432526e-31,5.32006374802139e-29,60.3021148687868
MGLL,-2.54616869239999,8.7677683744522,-18.6627851720122,4.97188480622136e-31,5.50778878328538e-29,60.2593717560776
PKP3,-1.39466805689989,7.86567638184791,-18.6568797967878,5.07643941468114e-31,5.57789257637526e-29,60.2386406752288
SLC35C1,-1.03638874636784,6.78164980274019,-18.6522055962654,5.16076787154139e-31,5.62482078902273e-29,60.2222286875132
MCM6,1.19793449808557,8.01543424076625,18.6457327403024,5.2798870133986e-31,5.70861383888656e-29,60.1994969076502
HIGD1A,-1.0670459443073,9.61821252728991,-18.6239362025041,5.7018035110024e-31,6.11586305168233e-29,60.122913061676
AGFG2,-0.565456443629474,5.76266634220942,-18.6076878707476,6.03833448077787e-31,6.42583389824511e-29,60.0657857303062
NAGK,-1.36597557878066,9.49233617326172,-18.6006586594435,6.19006973886993e-31,6.53584316568962e-29,60.0410618611776
PPL,-2.59107025677059,10.6199862063853,-18.5472234717944,7.47678613957436e-31,7.7790673240157e-29,59.8529176029413
TFRC,1.68673007195457,9.37365130298287,18.5470022460538,7.48263967533882e-31,7.7790673240157e-29,59.8521379490331
HSP90AA1,0.962247761290265,11.7040246848733,18.5402184726831,7.66439921659804e-31,7.90720270323073e-29,59.8282273697549
MCM3,1.16828451290673,8.42558294271876,18.5198129709483,8.23845163465378e-31,8.38278409950561e-29,59.7562708631541
ACAA1,-1.00858132491411,7.96224379692052,-18.5194369168712,8.24942867357933e-31,8.38278409950561e-29,59.7549442966711
H2AFZ,0.897159256262893,10.8760932153207,18.5057067320753,8.66048914775028e-31,8.73481424118247e-29,59.7064979592705
HEBP2,-1.2054631913835,9.54471587326437,-18.4969615619356,8.93302525772067e-31,8.92532929331209e-29,59.6756290370487
USO1,-0.990444574816962,8.44319738109807,-18.4954355028177,8.9814634398109e-31,8.92532929331209e-29,59.670241359114
TGM3,-4.81508781463025,9.34563210737808,-18.4759568654209,9.6235337244572e-31,9.49358089679117e-29,59.6014480106845
FUT2,-1.22657554327276,7.00775339610273,-18.4567324751492,1.03026735391437e-30,1.0089900933444e-28,59.5335071830865
PRSS3P2,-1.12975919859713,7.3277540235976,-18.4498474458568,1.05574993701331e-30,1.02650794235503e-28,59.5091638560888
CLCA4,-4.68180674299569,9.03838580981162,-18.437435185867,1.10330837846634e-30,1.06508662392661e-28,59.4652633240789
EHD3,-2.18008500997499,7.33378123640416,-18.4115282617661,1.20965955569244e-30,1.15947155284988e-28,59.3735732632004
HOMER3,1.0951484833892,6.0267858179337,18.3746560341067,1.37913142924656e-30,1.31260290607516e-28,59.2429330880913
GDPD3,-2.12153942482693,7.30740557248538,-18.3699807335233,1.40226750895084e-30,1.32528988695599e-28,59.2263563701162
GMNN,1.50035514713193,8.47763029642457,18.3481213274963,1.51574987614927e-30,1.42259441501093e-28,59.1488162600126
SORT1,-1.10982338423165,6.06527671711128,-18.3063578659579,1.75900480521942e-30,1.63951378914072e-28,59.0005092177448
TJP1,-1.43999557298359,8.46870262845941,-18.3043851414701,1.77142417030559e-30,1.63978066175891e-28,58.9934985448179
CDK4,1.26470266865008,9.18933961761297,18.2964667460385,1.82217197665753e-30,1.67528260302901e-28,58.9653533254771
TTC9,-2.07492307318444,6.78430577216783,-18.2899189103933,1.86524304508086e-30,1.70329457799107e-28,58.9420738221322
TPCN1,-1.00047301862455,7.66584477208694,-18.2336701173932,2.28027350315081e-30,2.06831519430088e-28,58.7418756424306
AURKB,1.45593851130842,6.22234673179976,18.1934367931107,2.63328161182191e-30,2.37258673225154e-28,58.5984402812856
PCNA,1.33404509398088,9.77294783649245,18.1761947826775,2.80099363163089e-30,2.50698204844314e-28,58.5369099739256
