,logFC,AveExpr,t,P.Value,adj.P.Val,B
CBX3,0.705822779794753,8.5035464153378,11.6589881941368,5.81603872239331e-18,7.86037633331456e-14,30.3985333507668
ENDOU,-1.66108904029516,7.92104172300897,-10.5572458505687,4.82783784968017e-16,3.26241142692138e-12,26.1205907097193
SNRPG,0.484616110471649,10.3193272587906,10.0864511759592,3.31199527258236e-15,1.16976167481672e-11,24.2522195654351
SERPINH1,1.25416520435488,7.98014387254837,10.051466500356,3.82456459390364e-15,1.16976167481672e-11,24.1125292342914
OXSR1,-0.491249719532235,8.80981360493553,-10.0214412748793,4.32764215618467e-15,1.16976167481672e-11,23.9925524673145
KAT2B,-0.964799151397139,7.76667763745846,-9.97160224735392,5.31385679951604e-15,1.19694624409099e-11,23.7932231802068
SH3GL1,-0.42281548175642,9.0418098056255,-9.87292733557826,7.98350790393834e-15,1.54138727602467e-11,23.3979303247789
C1orf116,-0.978032968932213,8.36837842698514,-9.78569285802626,1.14488648992634e-14,1.69424540906142e-11,23.0477731362335
FSCN1,0.962894684495581,6.73048423643893,9.77340408895472,1.20458935532208e-14,1.69424540906142e-11,22.9983952287262
RFC4,1.15419240347754,7.6034465728674,9.7637643070492,1.25360370629776e-14,1.69424540906142e-11,22.9596526061044
COL1A1,1.27824636003359,7.80773891488176,9.72731837793991,1.45772603964566e-14,1.79101522052828e-11,22.8131065836814
MFAP2,1.26004098055979,7.25702189371511,9.70169102924777,1.62095132700984e-14,1.82559643204483e-11,22.7099968968598
KIAA0232,-0.60128350241946,8.33367698567478,-9.66918026230932,1.85470676821828e-14,1.92818169019e-11,22.5791169782605
MINPP1,0.635603833964646,5.54355325929599,9.60542039075464,2.41608771674883e-14,2.20932153552445e-11,22.3221960801013
SULF1,1.2136236743602,7.25765345481277,9.60185716970462,2.45207717594279e-14,2.20932153552445e-11,22.3078288100057
DNMT1,0.649921534889603,7.72593352198794,9.55594459527001,2.96694880110376e-14,2.36454698195767e-11,22.1226186743989
GPD1L,-0.928406510153488,8.80510715691558,-9.55358559315772,2.99615885824897e-14,2.36454698195767e-11,22.1130982482002
RMND5B,-0.361954507769193,7.325049592313,-9.54158929405295,3.1492301646495e-14,2.36454698195767e-11,22.0646773624504
